ST,CB,PB,GO,CA,RETURN,VOLAT
1.0,0.0,0.0,0.0,0.0,5.556095598798921,7.764614919622644
0.8,0.2,0.0,0.0,0.0,5.269775305237542,57.74719041073061
0.8,0.0,0.2,0.0,0.0,4.5276162272961304,58.107084675211254
0.8,0.0,0.0,0.2,0.0,9.259405628187954,54.101991383839035
0.8,0.0,0.0,0.0,0.2,2.9310223063268737,59.20714629390107
0.6,0.4,0.0,0.0,0.0,4.983684803244061,17.00815329338292
0.6,0.2,0.2,0.0,0.0,4.241823541947087,52.89673715850613
0.6,0.2,0.0,0.2,0.0,8.97177186237423,49.946908131992096
0.6,0.2,0.0,0.0,0.2,2.646555221471451,53.75764429156694
0.6,0.0,0.4,0.0,0.0,3.499962280650114,17.482113633455555
0.6,0.0,0.2,0.2,0.0,8.230059419785642,50.22496505330696
0.6,0.0,0.2,0.0,0.2,1.906475852715623,54.03267670868694
0.6,0.0,0.0,0.4,0.0,12.958259207481484,13.089819081796508
0.6,0.0,0.0,0.2,0.2,6.625532831906845,51.09234014829865
0.6,0.0,0.0,0.0,0.4,0.397944650185164,19.08649718948186
0.4,0.6,0.0,0.0,0.0,4.697823816294297,24.63733469902421
0.4,0.4,0.2,0.0,0.0,3.9562601327194336,28.03298817730438
0.4,0.4,0.0,0.2,0.0,8.684368803410939,24.10905551641066
0.4,0.4,0.0,0.0,0.2,2.362315801349777,29.16070824134499
0.4,0.2,0.4,0.0,0.0,3.2146964491446015,27.38604358501191
0.4,0.2,0.2,0.2,0.0,7.942953819191143,29.07099932708454
0.4,0.2,0.2,0.0,0.2,1.6225325828015347,31.417019370515515
0.4,0.2,0.0,0.4,0.0,12.669315336242464,31.295155066197967
0.4,0.2,0.0,0.2,0.2,6.339758361614986,29.74823843964401
0.4,0.2,0.0,0.0,0.4,0.11528369197647097,26.71605411098526
0.4,0.0,0.6,0.0,0.0,2.4731327655697695,24.10434422208064
0.4,0.0,0.4,0.2,0.0,7.201538834971349,23.807302481157326
0.4,0.0,0.4,0.0,0.2,0.8827493642532922,28.883185432500397
0.4,0.0,0.2,0.4,0.0,11.928048991754872,31.634245861517474
0.4,0.0,0.2,0.2,0.2,5.600123129307702,29.944739746651056
0.4,0.0,0.2,0.0,0.4,-0.6227275907189614,27.083217583646878
0.4,0.0,0.0,0.6,0.0,16.652664375976073,30.30456005948218
0.4,0.0,0.0,0.4,0.2,10.315609944856078,32.688683317035604
0.4,0.0,0.0,0.2,0.4,4.083649764791324,23.107198175553474
0.4,0.0,0.0,0.0,0.6,-2.043906747707882,22.718250675833605
0.2,0.8,0.0,0.0,0.0,4.412192068307573,62.84029863787887
0.2,0.6,0.2,0.0,0.0,3.6709257238199804,59.17539110863403
0.2,0.6,0.0,0.2,0.0,8.39719617383951,56.24097006503982
0.2,0.6,0.0,0.0,0.2,2.078303772764229,60.02065244831285
0.2,0.4,0.4,0.0,0.0,2.9296593793323864,31.19953100240072
0.2,0.4,0.2,0.2,0.0,7.656078409497133,35.1176953127796
0.2,0.4,0.2,0.0,0.2,1.338816467503406,37.518731031391326
0.2,0.4,0.0,0.4,0.0,12.380603083337164,34.01912720982344
0.2,0.4,0.0,0.2,0.2,6.054212465184619,35.765222222099084
0.2,0.4,0.0,0.0,0.4,-0.16715167887528334,30.812966181900237
0.2,0.2,0.6,0.0,0.0,2.188393034844779,58.33770461704969
0.2,0.2,0.4,0.2,0.0,6.914960645154741,34.322857994473125
0.2,0.2,0.4,0.0,0.2,0.5993291622425686,36.715548108099526
0.2,0.2,0.2,0.4,0.0,11.63963383958883,43.18775327735339
0.2,0.2,0.2,0.2,0.2,5.314873027811257,8.565406350865052
0.2,0.2,0.2,0.0,0.4,-0.9048684638521762,34.35492948047572
0.2,0.2,0.0,0.6,0.0,16.362413756846212,64.75620485444425
0.2,0.2,0.0,0.4,0.2,10.028531430019063,43.82026564975089
0.2,0.2,0.0,0.2,0.4,3.7996875044971214,32.645280274613384
0.2,0.2,0.0,0.0,0.6,-2.3248079614478687,56.745772793575135
0.2,0.0,0.8,0.0,0.0,1.4471266903571858,62.487865118214614
0.2,0.0,0.6,0.2,0.0,6.173842880812351,55.674545520207275
0.2,0.0,0.6,0.0,0.2,-0.14015814301826876,59.45724658890489
0.2,0.0,0.4,0.4,0.0,10.898664595840495,33.94420905113543
0.2,0.0,0.4,0.2,0.2,4.575533590437908,35.166390608242914
0.2,0.0,0.4,0.0,0.4,-1.6425852488290549,30.583282659958556
0.2,0.0,0.2,0.6,0.0,15.621592974176599,65.0231203568305
0.2,0.0,0.2,0.4,0.2,9.289339801409682,44.013796407961244
0.2,0.0,0.2,0.2,0.4,3.0621178802593603,32.839547920116935
0.2,0.0,0.2,0.0,0.6,-3.060762684040249,57.01931412099399
0.2,0.0,0.0,0.8,0.0,20.342629153643145,66.56647092718572
0.2,0.0,0.0,0.6,0.2,14.001261620532162,65.84774211791488
0.2,0.0,0.0,0.4,0.4,7.764944382650834,33.87332393213193
0.2,0.0,0.0,0.2,0.6,1.6329875574632922,54.08228073170409
0.2,0.0,0.0,0.0,0.8,-4.395292709998444,61.55906210660652
0.0,1.0,0.0,0.0,0.0,4.126789283645934,2.229876378783168
