Date,Price,Open,High,Low,Vol.,Change %
10/29/2020,81.33,81.36,81.58,81.3,0.29K,+0.13%
10/28/2020,81.23,81.46,81.46,80.95,2.20K,+0.31%
10/27/2020,80.97,80.84,81.04,80.84,1.08K,-0.09%
10/26/2020,81.05,81.18,81.18,80.76,2.81K,+0.24%
10/23/2020,80.86,80.61,80.93,80.46,0.79K,+0.45%
10/22/2020,80.5,80.68,80.68,80.12,0.50K,-0.01%
10/21/2020,80.5,81.27,81.27,80.51,1.24K,-1.22%
10/20/2020,81.5,81.36,81.83,81.18,3.43K,+0.14%
10/19/2020,81.39,81.46,81.73,80.87,0.85K,-0.41%
10/16/2020,81.72,81.89,82.19,81.4,3.18K,+0.03%
10/15/2020,81.69,81.74,81.88,81.48,1.55K,+0.62%
10/14/2020,81.19,81.94,81.94,81.01,0.87K,-0.25%
10/13/2020,81.39,81.22,81.55,80.93,0.59K,+0.70%
10/12/2020,80.82,81.0,81.14,80.48,10.20K,-0.30%
10/09/2020,81.07,81.19,81.68,81.13,2.74K,-0.39%
10/08/2020,81.39,81.28,81.46,81.12,1.04K,+0.09%
10/07/2020,81.32,81.14,81.85,81.14,1.05K,+0.26%
10/06/2020,81.11,80.99,81.18,80.93,4.62K,+0.10%
10/05/2020,81.03,81.53,81.53,80.99,1.23K,-0.14%
10/02/2020,81.14,81.47,81.47,80.84,0.40K,-0.34%
10/01/2020,81.42,81.7,81.89,81.08,0.55K,+0.20%
09/30/2020,81.26,81.83,81.83,81.26,8.51K,-0.56%
09/29/2020,81.72,81.51,81.82,81.51,1.78K,+0.28%
09/28/2020,81.49,81.87,81.87,81.25,0.38K,-0.85%
09/25/2020,82.18,82.02,82.18,81.97,0.33K,-0.09%
09/24/2020,82.25,82.39,82.39,82.29,0.11K,-0.16%
09/23/2020,82.39,82.96,83.0,82.21,1.54K,-0.24%
09/22/2020,82.58,82.24,82.6,82.07,0.70K,+0.25%
09/21/2020,82.38,81.69,82.31,81.69,0.24K,+0.78%
09/18/2020,81.74,81.17,81.64,81.17,0.01K,-0.01%
09/17/2020,81.75,82.14,82.14,81.55,0.58K,-0.73%
09/16/2020,82.35,82.81,83.0,82.25,0.95K,-0.90%
09/15/2020,83.1,83.76,83.76,82.82,0.36K,+0.11%
09/14/2020,83.0,83.35,83.35,82.86,0.22K,-0.52%
09/11/2020,83.43,83.22,83.35,83.22,0.04K,+0.84%
09/10/2020,82.74,82.08,82.78,81.77,0.58K,+1.01%
09/09/2020,81.91,82.01,82.48,82.01,0.19K,+0.07%
09/08/2020,81.86,81.21,81.85,81.21,6.59K,+1.03%
09/07/2020,81.02,80.72,81.14,80.62,0.25K,+0.17%
09/04/2020,80.88,80.54,80.99,80.54,3.35K,+0.03%
09/03/2020,80.86,80.73,80.9,80.51,0.58K,+0.21%
09/02/2020,80.68,80.22,80.69,80.15,5.47K,+1.24%
09/01/2020,79.69,79.7,80.13,79.38,0.67K,-0.24%
08/28/2020,79.89,80.1,80.18,79.86,0.55K,-0.69%
08/27/2020,80.44,80.62,80.9,80.57,5.33K,-0.29%
08/26/2020,80.68,81.01,81.01,80.5,1.74K,-0.56%
08/25/2020,81.13,81.76,81.76,81.03,0.34K,-0.83%
08/24/2020,81.81,81.76,81.97,81.6,1.81K,+0.23%
08/21/2020,81.62,81.08,81.76,81.08,0.33K,+0.47%
08/20/2020,81.24,81.51,81.54,81.27,0.17K,+0.01%
08/19/2020,81.22,81.01,81.22,80.96,0.20K,+0.37%
08/18/2020,80.93,81.33,81.33,81.2,0.66K,-0.75%
08/17/2020,81.54,81.65,81.65,81.15,0.94K,+0.22%
08/14/2020,81.36,81.55,81.69,81.22,0.69K,-0.57%
08/13/2020,81.82,82.06,82.11,81.76,0.89K,-0.34%
08/12/2020,82.11,82.11,82.27,81.99,1.07K,+0.19%
08/11/2020,81.95,82.31,82.31,81.83,1.45K,-0.46%
08/10/2020,82.33,82.59,82.85,82.23,2.79K,-0.29%
08/07/2020,82.57,82.03,82.74,82.03,0.27K,+0.28%
08/06/2020,82.34,82.26,82.42,81.79,4.35K,+0.49%
08/05/2020,81.94,82.22,82.29,81.93,0.59K,-0.45%
08/04/2020,82.31,82.13,82.74,82.13,0.36K,+0.26%
08/03/2020,82.1,82.01,82.31,81.9,1.43K,+0.53%
07/31/2020,81.66,81.74,82.03,81.29,0.36K,-0.75%
07/30/2020,82.28,82.77,82.77,82.16,2.17K,-0.26%
07/29/2020,82.5,82.51,82.57,82.29,7.23K,-0.16%
07/28/2020,82.63,83.51,83.51,82.51,0.26K,-0.54%
07/27/2020,83.07,83.21,83.53,82.96,0.28K,-0.35%
07/24/2020,83.37,84.19,84.19,83.21,0.12K,-0.28%
07/23/2020,83.6,83.66,83.96,83.63,0.98K,-0.05%
07/22/2020,83.64,83.84,83.99,83.68,0.17K,+0.22%
07/21/2020,83.46,83.47,83.64,83.32,1.28K,-0.15%
07/20/2020,83.58,84.13,84.13,83.48,1.13K,-0.70%
07/17/2020,84.17,83.99,84.34,83.97,2.29K,+0.66%
07/16/2020,83.61,83.58,83.87,83.58,0.82K,+0.29%
07/15/2020,83.37,83.66,83.67,83.22,6.04K,-0.25%
07/14/2020,83.58,83.29,83.72,83.22,3.87K,+0.69%
07/13/2020,83.01,82.84,83.25,82.83,1.26K,+0.24%
07/10/2020,82.81,83.01,83.15,82.68,0.11K,-0.08%
07/09/2020,82.88,82.75,82.77,82.71,2.74K,-0.19%
07/08/2020,83.04,82.57,83.39,82.57,0.66K,+0.34%
07/07/2020,82.75,83.38,83.38,82.69,1.44K,-0.76%
07/06/2020,83.39,83.73,83.73,83.19,0.84K,+0.02%
07/03/2020,83.37,83.55,83.59,83.36,0.22K,-0.01%
07/02/2020,83.38,83.25,83.5,83.19,0.26K,+0.40%
07/01/2020,83.04,83.64,83.67,82.99,0.54K,-0.76%
06/30/2020,83.68,84.16,84.57,83.74,1.03K,-0.48%
06/29/2020,84.08,83.36,84.22,83.36,3.80K,+0.72%
06/26/2020,83.49,83.1,83.36,83.1,1.85K,+0.69%
06/25/2020,82.92,82.77,82.96,82.77,0.98K,+0.34%
06/24/2020,82.64,82.74,82.74,82.38,0.64K,+0.13%
06/23/2020,82.53,82.56,82.97,82.45,1.76K,-0.51%
06/22/2020,82.95,82.97,83.2,82.97,1.55K,-0.47%
06/19/2020,83.34,82.94,83.36,82.27,0.95K,+0.76%
06/18/2020,82.71,81.78,82.85,81.78,0.99K,+0.78%
06/17/2020,82.07,82.32,82.46,81.99,0.41K,-0.10%
06/16/2020,82.15,82.31,82.57,81.95,2.92K,+0.54%
06/15/2020,81.71,82.26,82.26,81.65,0.90K,-0.06%
06/12/2020,81.76,80.66,81.92,80.66,2.43K,+0.63%
06/11/2020,81.25,81.68,81.68,81.15,0.52K,+0.60%
06/10/2020,80.76,81.16,81.16,80.49,0.59K,+0.19%
06/09/2020,80.61,81.19,81.19,80.75,0.52K,-0.57%
