Date,Price,Open,High,Low,Vol.,Change %
10/27/2020,258.5,257.83,258.5,257.65,1.46K,+0.23%
10/26/2020,257.9,257.98,257.98,257.33,2.89K,+0.46%
10/23/2020,256.71,258.85,258.86,255.8,1.66K,-0.24%
10/22/2020,257.34,257.5,257.98,257.33,5.23K,-0.54%
10/21/2020,258.75,257.36,258.75,257.06,12.17K,+0.30%
10/20/2020,257.98,258.97,258.97,257.77,0.98K,-0.20%
10/19/2020,258.5,259.4,259.5,258.48,6.98K,-0.57%
10/16/2020,259.99,259.79,260.24,259.61,1.93K,+0.04%
10/15/2020,259.89,259.56,260.57,259.56,7.92K,+0.13%
10/14/2020,259.56,259.23,259.77,259.12,1.08K,+0.24%
10/13/2020,258.95,258.34,259.14,257.94,2.98K,+0.31%
10/12/2020,258.14,257.56,258.14,257.32,6.05K,+0.24%
10/09/2020,257.51,257.53,257.63,257.07,1.30K,-0.04%
10/08/2020,257.62,257.5,257.99,257.32,1.49K,+0.06%
10/07/2020,257.47,257.6,257.64,257.01,0.89K,+0.01%
10/06/2020,257.45,257.51,260.0,256.94,3.95K,-0.08%
10/05/2020,257.65,259.0,259.0,257.33,1.64K,-0.67%
10/02/2020,259.38,259.21,259.91,258.91,2.36K,+0.27%
10/01/2020,258.68,258.62,258.79,258.2,9.88K,+0.10%
09/30/2020,258.42,259.17,259.62,258.42,0.69K,-0.34%
09/29/2020,259.3,259.62,259.95,259.02,1.05K,-0.32%
09/28/2020,260.13,260.56,260.56,259.34,2.35K,-0.17%
09/25/2020,260.56,259.69,260.56,259.4,4.95K,+0.20%
09/24/2020,260.03,259.79,260.35,259.7,1.40K,+0.09%
09/23/2020,259.79,259.52,259.99,259.25,1.26K,+0.16%
09/22/2020,259.37,259.49,259.65,258.74,1.20K,+0.09%
09/21/2020,259.13,257.7,259.36,257.22,7.59K,+0.58%
09/18/2020,257.63,257.5,258.22,257.4,2.34K,-0.27%
09/17/2020,258.34,258.43,258.82,258.09,2.79K,+0.22%
09/16/2020,257.78,257.18,257.9,256.64,0.66K,+0.27%
09/15/2020,257.08,256.57,257.12,256.01,1.68K,+0.35%
09/14/2020,256.19,256.45,256.89,256.19,0.91K,-0.07%
09/11/2020,256.37,256.51,256.75,255.72,2.38K,+0.40%
09/10/2020,255.36,256.99,256.99,254.96,2.47K,-0.35%
09/09/2020,256.25,257.67,258.1,256.25,6.94K,-0.39%
09/08/2020,257.25,257.18,257.6,256.16,1.09K,+0.68%
09/07/2020,255.51,256.27,256.64,255.51,0.50K,-0.40%
09/04/2020,256.54,257.35,257.35,256.54,1.32K,-0.45%
09/03/2020,257.71,257.62,257.71,256.85,1.52K,-0.04%
09/02/2020,257.81,256.28,257.81,256.04,5.86K,+1.48%
09/01/2020,254.04,254.25,254.97,253.69,5.01K,-0.11%
08/31/2020,254.31,254.93,254.99,254.22,0.96K,-0.43%
08/28/2020,255.4,254.6,255.84,254.1,1.72K,-0.30%
08/27/2020,256.16,256.67,256.91,256.16,0.92K,-0.15%
08/26/2020,256.54,255.93,256.8,255.78,2.25K,-0.01%
08/25/2020,256.57,257.78,257.78,255.91,2.04K,-0.47%
08/24/2020,257.78,258.3,258.3,256.99,0.24K,-0.14%
08/21/2020,258.15,257.44,258.76,257.44,0.79K,+0.38%
08/20/2020,257.18,257.06,257.92,256.98,0.84K,+0.26%
08/19/2020,256.52,256.0,256.48,255.79,0.45K,+0.34%
08/18/2020,255.66,256.15,256.22,255.37,0.99K,-0.29%
08/17/2020,256.41,255.62,256.41,255.62,0.71K,+0.14%
08/14/2020,256.05,256.34,256.67,255.99,0.83K,-0.11%
08/13/2020,256.34,256.8,256.8,255.53,1.32K,-0.31%
08/12/2020,257.15,257.95,257.95,256.82,1.42K,-0.31%
08/11/2020,257.95,259.35,259.35,257.71,0.67K,-0.52%
08/10/2020,259.31,259.12,259.49,258.97,1.68K,+0.06%
08/07/2020,259.15,258.96,259.65,258.73,1.84K,-0.18%
08/06/2020,259.62,258.0,259.62,258.0,7.40K,+0.75%
08/05/2020,257.7,259.0,259.31,257.25,6.84K,-0.62%
08/04/2020,259.31,258.8,259.7,258.74,1.62K,-0.07%
08/03/2020,259.49,259.37,259.65,258.9,1.59K,+0.19%
07/31/2020,259.01,258.54,259.1,258.3,4.05K,+0.16%
07/30/2020,258.59,259.2,259.77,258.59,4.46K,-0.17%
07/29/2020,259.03,259.89,259.89,258.56,3.28K,-0.31%
07/28/2020,259.83,259.19,259.85,258.83,2.10K,+0.36%
07/27/2020,258.9,259.6,259.71,258.29,6.87K,-0.29%
07/24/2020,259.65,260.25,260.5,259.65,1.60K,-0.23%
07/23/2020,260.25,260.23,260.8,259.8,4.13K,-0.09%
07/22/2020,260.48,261.09,261.13,259.19,13.18K,-0.23%
07/21/2020,261.08,262.15,262.15,260.95,2.12K,-0.23%
07/20/2020,261.67,260.99,262.29,260.59,1.18K,-0.04%
07/17/2020,261.77,262.23,262.23,261.04,4.74K,-0.07%
07/16/2020,261.95,261.74,262.22,261.11,3.34K,+0.08%
07/15/2020,261.74,262.21,262.21,260.57,1.57K,-0.20%
07/14/2020,262.27,262.56,263.05,261.61,9.12K,+0.02%
07/13/2020,262.21,263.27,263.46,261.38,3.44K,+0.10%
07/10/2020,261.95,264.0,264.67,261.95,3.56K,-0.64%
07/09/2020,263.65,262.74,263.74,262.13,2.62K,+0.26%
07/08/2020,262.96,263.0,263.58,261.6,2.59K,+0.21%
07/07/2020,262.4,262.34,262.59,261.7,3.58K,+0.02%
07/06/2020,262.34,262.49,262.49,261.29,1.52K,-0.45%
07/03/2020,263.53,263.26,263.53,262.67,0.78K,+0.46%
07/02/2020,262.33,262.22,262.83,261.04,2.37K,+0.16%
07/01/2020,261.9,263.45,264.16,261.66,2.73K,-0.58%
06/30/2020,263.43,263.12,263.69,263.09,1.33K,+0.14%
06/29/2020,263.05,263.68,263.68,262.27,2.29K,-0.52%
06/26/2020,264.42,264.0,264.42,263.5,3.83K,+0.16%
06/25/2020,264.01,262.7,264.01,262.44,5.07K,+0.49%
06/24/2020,262.71,261.5,262.71,261.5,12.68K,+0.49%
06/23/2020,261.43,262.0,262.19,260.96,2.46K,-0.33%
06/22/2020,262.3,264.0,264.0,262.3,5.24K,-0.53%
06/19/2020,263.7,263.05,264.2,261.8,7.08K,+0.26%
06/18/2020,263.02,262.69,263.3,262.01,3.70K,-0.12%
06/17/2020,263.34,262.0,263.34,261.28,9.31K,+0.38%
06/16/2020,262.35,261.57,262.35,260.57,2.99K,-0.19%
06/15/2020,262.84,263.0,263.06,261.81,2.77K,+0.16%
06/12/2020,262.41,261.2,262.47,260.5,3.72K,+0.42%
06/11/2020,261.31,261.11,261.36,260.25,4.19K,+0.07%
06/10/2020,261.14,259.5,261.14,258.85,4.23K,+0.95%
06/09/2020,258.67,260.32,260.73,258.67,3.27K,-0.31%
06/08/2020,259.48,257.88,259.49,257.61,2.93K,+0.73%
06/05/2020,257.61,257.39,258.28,256.72,4.78K,-0.56%
06/04/2020,259.07,260.76,261.25,258.44,13.84K,-1.23%
06/03/2020,262.3,261.23,262.37,260.53,12.27K,+0.06%
06/02/2020,262.14,264.0,264.0,262.03,4.24K,-0.52%
