Date,Price,Open,High,Low,Change %
"Aug 13, 2020",187.01,187.01,187.01,187.01,-0.33%
"Aug 12, 2020",187.62,187.62,187.62,187.62,1.13%
"Aug 11, 2020",185.52,185.52,185.52,185.52,-0.05%
"Aug 10, 2020",185.61,185.61,185.61,185.61,0.40%
"Aug 07, 2020",184.87,184.87,184.87,184.87,0.30%
"Aug 06, 2020",184.31,184.31,184.31,184.31,0.42%
"Aug 05, 2020",183.53,183.53,183.53,183.53,-0.16%
"Aug 04, 2020",183.82,183.82,183.82,183.82,0.40%
"Aug 03, 2020",183.09,183.09,183.09,183.09,1.58%
"Jul 31, 2020",180.24,180.24,180.24,180.24,-0.32%
"Jul 30, 2020",180.81,180.81,180.81,180.81,-0.76%
"Jul 29, 2020",182.19,182.19,182.19,182.19,0.46%
"Jul 28, 2020",181.35,181.35,181.35,181.35,-0.10%
"Jul 27, 2020",181.54,181.54,181.54,181.54,-0.42%
"Jul 24, 2020",182.3,182.3,182.3,182.3,-0.97%
"Jul 23, 2020",184.09,184.09,184.09,184.09,-0.85%
"Jul 22, 2020",185.67,185.67,185.67,185.67,-0.64%
"Jul 21, 2020",186.87,186.87,186.87,186.87,-0.15%
"Jul 20, 2020",187.16,187.16,187.16,187.16,0.68%
"Jul 17, 2020",185.9,185.9,185.9,185.9,0.31%
"Jul 16, 2020",185.33,185.33,185.33,185.33,-0.46%
"Jul 15, 2020",186.19,186.19,186.19,186.19,0.97%
"Jul 14, 2020",184.41,184.41,184.41,184.41,0.50%
"Jul 13, 2020",183.49,183.49,183.49,183.49,-0.70%
"Jul 10, 2020",184.79,184.79,184.79,184.79,0.71%
"Jul 09, 2020",183.49,183.49,183.49,183.49,-0.29%
"Jul 08, 2020",184.03,184.03,184.03,184.03,0.16%
"Jul 07, 2020",183.74,183.74,183.74,183.74,-0.74%
"Jul 06, 2020",185.11,185.11,185.11,185.11,1.10%
"Jul 03, 2020",183.09,183.09,183.09,183.09,-0.25%
"Jul 02, 2020",183.55,183.55,183.55,183.55,1.15%
"Jul 01, 2020",181.47,181.47,181.47,181.47,0.07%
"Jun 30, 2020",181.35,181.35,181.35,181.35,1.32%
"Jun 29, 2020",178.99,178.99,178.99,178.99,0.52%
"Jun 26, 2020",178.06,178.06,178.06,178.06,-1.55%
"Jun 25, 2020",180.87,180.87,180.87,180.87,1.17%
"Jun 24, 2020",178.78,178.78,178.78,178.78,-1.91%
"Jun 23, 2020",182.26,182.26,182.26,182.26,-0.02%
"Jun 22, 2020",182.3,182.3,182.3,182.3,-0.08%
"Jun 19, 2020",182.45,182.45,182.45,182.45,-0.06%
"Jun 18, 2020",182.56,182.56,182.56,182.56,-0.07%
"Jun 17, 2020",182.69,182.69,182.69,182.69,0.08%
"Jun 16, 2020",182.55,182.55,182.55,182.55,2.64%
"Jun 15, 2020",177.85,177.85,177.85,177.85,-0.02%
"Jun 12, 2020",177.88,177.88,177.88,177.88,1.67%
"Jun 11, 2020",174.95,174.95,174.95,174.95,-5.23%
"Jun 10, 2020",184.6,184.6,184.6,184.6,-0.34%
"Jun 09, 2020",185.23,185.23,185.23,185.23,-1.03%
"Jun 08, 2020",187.15,187.15,187.15,187.15,1.06%
"Jun 05, 2020",185.19,185.19,185.19,185.19,2.47%
"Jun 04, 2020",180.72,180.72,180.72,180.72,-1.28%
"Jun 03, 2020",183.06,183.06,183.06,183.06,1.31%
"Jun 02, 2020",180.7,180.7,180.7,180.7,1.30%
"May 29, 2020",178.38,178.38,178.38,178.38,-0.63%
"May 28, 2020",179.51,179.51,179.51,179.51,-0.11%
"May 27, 2020",179.71,179.71,179.71,179.71,1.07%
"May 26, 2020",177.81,177.81,177.81,177.81,0.80%
"May 25, 2020",176.4,176.4,176.4,176.4,0.39%
"May 22, 2020",175.72,175.72,175.72,175.72,-0.02%
"May 20, 2020",175.76,175.76,175.76,175.76,1.10%
"May 19, 2020",173.84,173.84,173.84,173.84,-1.08%
"May 18, 2020",175.73,175.73,175.73,175.73,2.67%
"May 15, 2020",171.16,171.16,171.16,171.16,0.39%
"May 14, 2020",170.5,170.5,170.5,170.5,0.34%
"May 13, 2020",169.93,169.93,169.93,169.93,-1.52%
"May 12, 2020",172.56,172.56,172.56,172.56,-1.73%
"May 11, 2020",175.6,175.6,175.6,175.6,0.48%
"May 08, 2020",174.76,174.76,174.76,174.76,0.79%
"May 07, 2020",173.39,173.39,173.39,173.39,1.16%
"May 06, 2020",171.4,171.4,171.4,171.4,-0.02%
"May 05, 2020",171.43,171.43,171.43,171.43,1.63%
"May 04, 2020",168.68,168.68,168.68,168.68,-2.36%
"Apr 30, 2020",172.75,172.75,172.75,172.75,0.37%
"Apr 28, 2020",172.11,172.11,172.11,172.11,0.13%
"Apr 27, 2020",171.89,171.89,171.89,171.89,1.52%
"Apr 24, 2020",169.32,169.32,169.32,169.32,0.82%
"Apr 23, 2020",167.94,167.94,167.94,167.94,0.32%
"Apr 22, 2020",167.4,167.4,167.4,167.4,2.19%
"Apr 21, 2020",163.82,163.82,163.82,163.82,-2.92%
"Apr 20, 2020",168.75,168.75,168.75,168.75,-1.10%
"Apr 17, 2020",170.62,170.62,170.62,170.62,2.34%
"Apr 16, 2020",166.72,166.72,166.72,166.72,0.71%
"Apr 15, 2020",165.54,165.54,165.54,165.54,-1.77%
"Apr 14, 2020",168.52,168.52,168.52,168.52,1.55%
"Apr 09, 2020",165.94,165.94,165.94,165.94,0.89%
"Apr 08, 2020",164.47,164.47,164.47,164.47,2.57%
"Apr 07, 2020",160.35,160.35,160.35,160.35,-0.06%
"Apr 06, 2020",160.45,160.45,160.45,160.45,5.94%
"Apr 03, 2020",151.45,151.45,151.45,151.45,-0.86%
"Apr 02, 2020",152.77,152.77,152.77,152.77,1.87%
"Apr 01, 2020",149.96,149.96,149.96,149.96,-3.56%
"Mar 31, 2020",155.5,155.5,155.5,155.5,-0.41%
"Mar 30, 2020",156.14,156.14,156.14,156.14,2.75%
"Mar 27, 2020",151.96,151.96,151.96,151.96,-2.91%
"Mar 26, 2020",156.51,156.51,156.51,156.51,3.26%
"Mar 25, 2020",151.57,151.57,151.57,151.57,2.09%
"Mar 24, 2020",148.46,148.46,148.46,148.46,8.49%
"Mar 23, 2020",136.84,136.84,136.84,136.84,-3.59%
"Mar 20, 2020",141.93,141.93,141.93,141.93,-2.43%
"Mar 19, 2020",145.46,145.46,145.46,145.46,2.13%
"Mar 18, 2020",142.42,142.42,142.42,142.42,-3.96%
"Mar 17, 2020",148.29,148.29,148.29,148.29,5.66%
"Mar 16, 2020",140.35,140.35,140.35,140.35,-10.08%
"Mar 13, 2020",156.08,156.08,156.08,156.08,5.95%
"Mar 12, 2020",147.32,147.32,147.32,147.32,-8.23%
"Mar 11, 2020",160.54,160.54,160.54,160.54,-3.32%
"Mar 10, 2020",166.06,166.06,166.06,166.06,3.50%
"Mar 09, 2020",160.44,160.44,160.44,160.44,-8.14%
"Mar 06, 2020",174.65,174.65,174.65,174.65,-3.03%
"Mar 05, 2020",180.1,180.1,180.1,180.1,-2.65%
"Mar 04, 2020",185.0,185.0,185.0,185.0,3.36%
"Mar 03, 2020",178.98,178.98,178.98,178.98,-1.89%
"Mar 02, 2020",182.42,182.42,182.42,182.42,1.88%
"Feb 28, 2020",179.06,179.06,179.06,179.06,-1.55%
"Feb 27, 2020",181.87,181.87,181.87,181.87,-4.64%
"Feb 26, 2020",190.71,190.71,190.71,190.71,-0.49%
"Feb 25, 2020",191.65,191.65,191.65,191.65,-2.79%
"Feb 24, 2020",197.16,197.16,197.16,197.16,-3.04%
"Feb 21, 2020",203.34,203.34,203.34,203.34,-1.16%
"Feb 20, 2020",205.73,205.73,205.73,205.73,-0.54%
"Feb 19, 2020",206.85,206.85,206.85,206.85,0.70%
"Feb 18, 2020",205.41,205.41,205.41,205.41,-0.24%
"Feb 17, 2020",205.91,205.91,205.91,205.91,0.04%
"Feb 14, 2020",205.82,205.82,205.82,205.82,0.09%
"Feb 13, 2020",205.64,205.64,205.64,205.64,0.25%
"Feb 12, 2020",205.13,205.13,205.13,205.13,0.76%
"Feb 11, 2020",203.59,203.59,203.59,203.59,0.42%
"Feb 10, 2020",202.73,202.73,202.73,202.73,0.73%
"Feb 07, 2020",201.27,201.27,201.27,201.27,-0.36%
"Feb 06, 2020",202.0,202.0,202.0,202.0,0.71%
"Feb 05, 2020",200.57,200.57,200.57,200.57,1.34%
"Feb 04, 2020",197.91,197.91,197.91,197.91,2.07%
"Jan 31, 2020",193.9,193.9,193.9,193.9,-1.67%
"Jan 30, 2020",197.19,197.19,197.19,197.19,-0.38%
"Jan 29, 2020",197.94,197.94,197.94,197.94,0.06%
"Jan 28, 2020",197.82,197.82,197.82,197.82,0.81%
"Jan 27, 2020",196.23,196.23,196.23,196.23,-1.54%
"Jan 24, 2020",199.3,199.3,199.3,199.3,-0.27%
"Jan 23, 2020",199.83,199.83,199.83,199.83,0.10%
"Jan 22, 2020",199.63,199.63,199.63,199.63,0.25%
"Jan 21, 2020",199.13,199.13,199.13,199.13,-0.32%
"Jan 20, 2020",199.76,199.76,199.76,199.76,0.03%
"Jan 17, 2020",199.7,199.7,199.7,199.7,0.81%
"Jan 16, 2020",198.1,198.1,198.1,198.1,0.68%
"Jan 15, 2020",196.77,196.77,196.77,196.77,-0.12%
"Jan 14, 2020",197.01,197.01,197.01,197.01,0.13%
"Jan 13, 2020",196.76,196.76,196.76,196.76,0.25%
"Jan 10, 2020",196.26,196.26,196.26,196.26,-0.19%
"Jan 09, 2020",196.64,196.64,196.64,196.64,0.71%
"Jan 08, 2020",195.26,195.26,195.26,195.26,0.49%
"Jan 07, 2020",194.3,194.3,194.3,194.3,0.25%
"Jan 06, 2020",193.81,193.81,193.81,193.81,-0.16%
"Jan 03, 2020",194.12,194.12,194.12,194.12,-0.24%
"Jan 02, 2020",194.59,194.59,194.59,194.59,0.97%
