Date,Price,Open,High,Low,Vol.,Change %
09/16/2020,183.97,184.98,185.01,183.33,12.72M,+0.28%
09/15/2020,183.45,184.46,184.67,182.92,7.99M,-0.24%
09/14/2020,183.89,183.57,184.3,183.39,9.71M,+0.79%
09/13/2020,182.45,182.45,182.45,182.45,,0.00%
09/11/2020,182.45,183.14,183.55,182.0,7.66M,-0.01%
09/10/2020,182.46,184.23,184.68,182.28,9.14M,-0.32%
09/09/2020,183.05,182.5,183.22,182.19,8.42M,+0.97%
09/08/2020,181.29,179.5,182.27,179.02,13.23M,-0.19%
09/04/2020,181.64,180.95,182.1,180.05,11.57M,+0.28%
09/03/2020,181.14,182.3,182.82,180.49,12.18M,-0.81%
09/02/2020,182.62,183.75,183.86,181.5,11.54M,-1.31%
09/01/2020,185.05,186.99,186.99,184.33,10.69M,+0.12%
08/31/2020,184.83,184.79,185.53,184.28,10.25M,+0.24%
08/30/2020,184.39,184.39,184.39,184.39,,0.00%
08/28/2020,184.39,183.98,185.4,183.4,13.20M,+1.74%
08/27/2020,181.24,185.0,185.17,179.37,16.30M,-1.16%
08/26/2020,183.36,180.26,183.58,180.2,12.72M,+1.18%
08/25/2020,181.22,181.06,181.25,179.73,10.06M,+0.12%
08/24/2020,181.0,182.91,182.93,180.69,11.61M,-0.57%
08/23/2020,182.03,182.03,182.03,182.03,,0.00%
08/21/2020,182.03,182.14,182.81,180.47,12.71M,-0.80%
08/20/2020,183.5,181.19,183.71,180.93,16.69M,+0.69%
08/19/2020,182.24,187.21,187.46,181.71,24.65M,-3.16%
08/18/2020,188.18,189.18,189.4,185.63,16.29M,+0.90%
08/17/2020,186.5,184.69,187.01,184.66,15.71M,+2.17%
08/14/2020,182.54,183.44,183.72,181.49,11.79M,-0.43%
08/13/2020,183.33,181.56,184.7,181.36,18.60M,+2.36%
08/12/2020,179.1,182.61,183.1,179.04,28.78M,-0.47%
08/11/2020,179.94,183.57,183.98,179.43,45.35M,-5.37%
08/10/2020,190.15,191.2,192.61,189.66,19.05M,-0.35%
08/09/2020,190.81,190.81,190.81,190.81,,0.00%
08/08/2020,190.81,190.81,190.81,190.81,,0.00%
08/07/2020,190.81,192.71,192.96,189.33,24.57M,-1.59%
08/06/2020,193.89,193.74,194.45,192.52,20.64M,+1.33%
08/05/2020,191.35,191.65,193.13,190.62,27.19M,+0.93%
08/04/2020,189.59,185.61,189.6,185.21,20.77M,+2.13%
08/03/2020,185.64,185.05,185.82,184.2,12.90M,+0.11%
08/02/2020,185.43,185.43,185.43,185.43,,0.00%
07/31/2020,185.43,184.51,185.75,184.16,15.89M,+0.91%
07/30/2020,183.76,183.44,184.33,182.13,18.06M,-0.74%
07/29/2020,185.13,184.01,186.14,182.39,25.64M,+0.75%
07/28/2020,183.75,182.02,184.26,181.42,21.16M,+0.83%
07/27/2020,182.23,181.85,182.83,181.53,21.12M,+1.98%
07/26/2020,178.7,178.7,178.7,178.7,,0.00%
07/25/2020,178.7,178.7,178.7,178.7,,0.00%
07/24/2020,178.7,179.14,179.16,178.2,15.60M,+0.86%
07/23/2020,177.18,176.17,178.41,175.65,23.01M,+0.88%
07/22/2020,175.63,174.05,175.77,173.76,18.71M,+1.52%
07/21/2020,173.0,172.53,173.25,172.31,12.86M,+1.21%
07/20/2020,170.94,170.76,171.07,170.27,10.10M,+0.48%
07/17/2020,170.12,169.94,170.27,169.6,10.30M,+0.82%
07/16/2020,168.73,169.8,170.0,168.65,10.24M,-0.95%
07/15/2020,170.34,169.62,170.43,169.39,7.53M,+0.09%
07/14/2020,170.19,168.97,170.2,168.81,9.81M,+0.47%
07/13/2020,169.4,170.29,170.42,169.16,11.10M,+0.12%
07/12/2020,169.19,169.19,169.19,169.19,,0.00%
07/11/2020,169.19,169.19,169.19,169.19,,0.00%
07/10/2020,169.19,169.95,170.15,168.57,8.22M,-0.26%
07/09/2020,169.63,170.48,170.63,168.78,13.33M,-0.27%
07/08/2020,170.09,170.32,170.86,169.78,11.66M,+0.62%
07/07/2020,169.04,167.41,169.04,167.38,11.63M,+0.63%
07/06/2020,167.98,167.75,168.0,167.19,7.27M,+0.60%
07/05/2020,166.98,166.98,166.98,166.98,,0.00%
07/04/2020,166.98,166.98,166.98,166.98,,0.00%
07/02/2020,166.98,166.2,167.24,166.02,8.75M,+0.22%
07/01/2020,166.62,167.05,167.06,165.34,13.21M,-0.45%
06/30/2020,167.37,166.31,167.99,166.19,12.76M,+0.44%
06/29/2020,166.63,166.56,166.8,166.18,6.74M,+0.05%
06/26/2020,166.54,164.87,166.56,164.22,9.75M,+0.45%
06/25/2020,165.8,165.89,165.91,165.16,7.09M,-0.06%
06/24/2020,165.9,166.01,166.99,165.45,10.90M,-0.35%
06/23/2020,166.48,165.63,166.52,165.52,12.14M,+0.84%
06/22/2020,165.09,165.06,165.73,164.41,12.39M,+0.65%
06/19/2020,164.03,162.87,164.09,162.78,12.19M,+1.10%
06/18/2020,162.24,162.2,162.32,161.44,5.40M,-0.20%
06/17/2020,162.56,162.0,162.62,161.77,4.76M,+0.19%
06/16/2020,162.25,161.85,162.69,161.36,7.97M,-0.05%
06/15/2020,162.33,160.52,162.56,160.16,8.54M,-0.18%
06/12/2020,162.62,163.41,163.88,162.56,6.90M,+0.14%
06/11/2020,162.39,163.35,164.06,161.97,11.67M,-0.72%
06/10/2020,163.57,162.1,163.63,160.52,13.01M,+1.43%
06/09/2020,161.26,161.1,161.78,160.87,9.05M,+0.96%
06/08/2020,159.72,158.9,159.86,158.47,9.24M,+1.08%
06/07/2020,158.01,158.01,158.01,158.01,,0.00%
06/05/2020,158.01,158.72,158.72,157.03,16.02M,-2.03%
06/04/2020,161.28,161.14,161.87,159.84,10.09M,+1.05%
06/03/2020,159.6,160.34,160.9,158.82,17.00M,-1.85%
06/02/2020,162.6,163.89,164.08,161.86,10.39M,-0.65%
06/01/2020,163.66,162.92,163.74,162.39,8.16M,+0.46%
05/29/2020,162.91,162.58,163.4,162.32,12.58M,+0.74%
05/28/2020,161.72,162.12,162.46,160.9,9.76M,+0.34%
05/27/2020,161.18,159.42,161.34,159.2,13.06M,+0.18%
